Jaws, Adventure Thriller, Steven Spielberg,
The Godfather, Crime Drama, Francis Ford Coppola,
The Shawshank Redemption, Drama, Frank Darabont,
Schindler's List, Biography Drama History, Steve Spielberg,
Raging Bull, Biography Drama Sport, Martin Scorsese,
Casablamca, Drama Romance War, Michael Curtiz,
Citizen Kane, Drama Mystery, Orson Welles,
Gone with the Wind, Drama History Romance, Victor Fleming,
The Wizard of Oz, Adventure Family Fantasy,  Victor Fleming,
One Flew Over the Cuckoo's Nest, Drama, Milos Forman,
Lawrence of Arabia, Adventure Biography Drama, David Lean,
Vertigo, Mystery Romance Thriller, Alfred Hitchcock,
Phycho, Horror Mystery Thriller, Alfred Hitchcock,
The Godfather: Part II, Crime Drama, Francis Ford Coppola,
On The Waterfront, Crime Drama Thriller, Elia Kazan,
Sunset Blvd., Drama Film-Noir, Billy Wilder,
Forrest Gump, Drama Romance, Robert Zemeckis,
The Sound of Music, Biography Drama Family,, Robert Wise,
12 Angry Men, Crime Drama, Sidney Lumet,
West Side Story, Crime Drama Musical, Jerome Robbins,
Star Wars: Episode IV - A New Hope, Action Adventure Fantasy, George Lucas,
2001: A Space Odyssey, Adventure Sci-Fi, Stanley Kubrick,
E.T. the Extra-Terrestrial, Family Sci-Fi, Steven Spielberg,
The Silence of the Lambs, Crime Drama Thriller, Johnathan Demme,
Chinatown, Drama Mystery Thriller, Roman Polanski,
The Bidge pn the wiver Kawi, Adventure Drama War, David Lean,
Singin' in the Rain, Comedy Musical Romance, Stanley Donen,
It's a Wonderful Life, Drama Family Fantasy, Frank Capra,
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Comedy, Stanley Kurbrick,
Some Like it Hot, Comedy Musicc Romance, Billy Wilder,
Ben-Hur, Adventure Drama History, William Wyler,
Apocalypse Now, Drama Mystery War, Francis Ford Coppola,
